NAME,B19049_001E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Total,B19049_002E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_under_25_years,B19049_003E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_25_to_44_years,B19049_004E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_45_to_64_years,B19049_005E_Median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars)_--_Householder_65_years_and_over,state,county,tract
Census Tract 2710.02,38358,-666666666,34219,40972,37143,24,510,271002
Census Tract 2604.02,42231,-666666666,46467,45484,18750,24,510,260402
Census Tract 2712,135441,-666666666,188571,120865,91354,24,510,271200
Census Tract 2804.04,39479,11806,38393,56369,37031,24,510,280404
Census Tract 901,44904,-666666666,51324,42083,37269,24,510,90100
Census Tract 2003,21890,-666666666,26691,20714,-666666666,24,510,200300
Census Tract 2715.01,87422,-666666666,80188,119375,84167,24,510,271501
Census Tract 2502.03,38009,-666666666,40739,41838,30865,24,510,250203
Census Tract 1102,42167,22031,54419,57176,18864,24,510,110200
Census Tract 203,96667,-666666666,95983,152898,-666666666,24,510,20300
Census Tract 1504,32868,-666666666,46094,23000,24107,24,510,150400
Census Tract 102,109102,66484,118534,87375,42414,24,510,10200
Census Tract 604,51932,72917,93050,32019,37813,24,510,60400
Census Tract 2607,56818,90375,66350,44362,25000,24,510,260700
Census Tract 2609,99932,-666666666,113906,93438,24375,24,510,260900
Census Tract 2610,53194,-666666666,82000,-666666666,54018,24,510,261000
Census Tract 2701.01,65469,-666666666,77604,56786,51250,24,510,270101
Census Tract 2719,52200,-666666666,-666666666,78289,38281,24,510,271900
Census Tract 2720.03,64984,-666666666,64647,106346,54125,24,510,272003
Census Tract 103,137275,93125,145625,130227,28864,24,510,10300
Census Tract 803.01,38553,-666666666,45735,41467,29000,24,510,80301
Census Tract 1101,49411,26487,52739,54178,68561,24,510,110100
Census Tract 903,40231,-666666666,70870,35833,26650,24,510,90300
Census Tract 1003,-666666666,-666666666,-666666666,-666666666,-666666666,24,510,100300
Census Tract 601,55781,-666666666,50972,60978,-666666666,24,510,60100
Census Tract 902,66552,-666666666,111250,69831,42708,24,510,90200
Census Tract 906,46037,-666666666,-666666666,70583,32761,24,510,90600
Census Tract 909,23816,18063,33704,26350,18700,24,510,90900
Census Tract 1001,24146,-666666666,26705,23684,23182,24,510,100100
Census Tract 1501,20269,-666666666,13438,16944,27278,24,510,150100
Census Tract 2805,15000,-666666666,14803,17025,10966,24,510,280500
Census Tract 2707.03,63448,-666666666,80417,55676,48056,24,510,270703
Census Tract 2710.01,35707,2499,42292,37361,29191,24,510,271001
Census Tract 1509,54410,-666666666,59313,60313,37375,24,510,150900
Census Tract 2004,30365,-666666666,34063,26750,13867,24,510,200400
Census Tract 2005,20982,-666666666,-666666666,-666666666,17619,24,510,200500
Census Tract 2501.01,54853,23684,59000,63013,32045,24,510,250101
Census Tract 2506,-666666666,-666666666,-666666666,-666666666,-666666666,24,510,250600
Census Tract 2604.04,35900,38393,-666666666,-666666666,45781,24,510,260404
Census Tract 2701.02,66581,-666666666,69214,82642,40682,24,510,270102
Census Tract 2705.01,59167,-666666666,72938,65625,57829,24,510,270501
Census Tract 2708.01,52546,31150,54301,51677,46029,24,510,270801
Census Tract 2717,40694,-666666666,48182,49153,25840,24,510,271700
Census Tract 2802,62857,-666666666,113636,77995,35455,24,510,280200
Census Tract 2803.01,40900,41848,49398,26397,18542,24,510,280301
Census Tract 1608.01,40260,25625,48304,40833,41354,24,510,160801
