time_start,time_end,geometry,satellite
2023-09-08,2023-09-08,"POLYGON ((-74.9275 -55.08553, -79.45801 -47.09749, -76.33021 -46.34259, -71.30363 -54.20259, -74.9275 -55.08553))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-92.60435 -2.56685, -92.83493 -1.48858, -93.24298 0.43455, -91.02951 0.90864, -90.62207 -1.00866, -90.39077 -2.08359, -92.60435 -2.56685))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((78.23316 46.92096, 75.54011 36.55576, 71.82732 19.68141, 69.46476 20.10577, 72.76107 36.95071, 74.95952 47.31072, 78.23316 46.92096))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((-125.13252 34.44028, -126.29655 39.29774, -131.77532 57.25188, -139.24163 70.26039, -132.63665 70.78208, -127.63909 57.65907, -123.4106 39.68996, -122.42686 34.83785, -125.13252 34.44028))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((53.6393 47.23945, 49.80111 32.01341, 48.83736 27.66422, 46.32126 28.07251, 47.17064 32.41444, 50.3459 47.62932, 53.6393 47.23945))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((46.61975 17.16865, 45.94463 13.8974, 42.81167 -1.18024, 40.59894 -0.70128, 43.65617 14.33517, 44.29282 17.59867, 46.61975 17.16865))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((40.53658 -11.50826, 37.89528 -22.32352, 37.14839 -25.11309, 34.73083 -24.53931, 35.52481 -21.76394, 38.28709 -10.99456, 40.53658 -11.50826))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((32.06542 56.61848, 28.46416 45.51477, 24.92003 31.14547, 22.31439 31.54785, 25.27388 45.90428, 27.9987 57.0235, 32.06542 56.61848))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((21.41503 14.65517, 20.31997 9.33546, 16.71225 -7.69168, 14.48475 -7.19162, 18.0713 9.78472, 19.11843 15.09111, 21.41503 14.65517))",Sentinel 1
2023-09-08,2023-09-08,"POLYGON ((18.18419 73.30623, 8.31478 58.92394, 2.57431 40.9879, 0.34369 31.63221, -2.27573 32.03383, -0.38526 41.37886, 3.97999 59.33771, 10.44049 73.89481, 18.18419 73.30623))",Sentinel 1
